Universidad,Tipo de tarea,Cantidad de commits
UNSAM,Tradicional (2018),2
UNSAM,Tradicional (2018),9
UNSAM,Tradicional (2018),15
UNSAM,Tradicional (2018),19
UNSAM,Tradicional (2018),19
UNSAM,Tradicional (2018),20
UNSAM,Tradicional (2018),23
UNSAM,Tradicional (2018),26
UNSAM,Tradicional (2018),27
UNSAM,Tradicional (2018),35
UNSAM,Tradicional (2018),38
UNSAM,Tradicional (2018),40
UNSAM,Tradicional (2018),45
UNSAM,Tradicional (2018),46
UNSAM,Tradicional (2018),47
UNSAM,Tradicional (2018),61
UNSAM,Tradicional (2018),66
UTN FRBA,Tradicional (2018),20
UTN FRBA,Tradicional (2018),22
UTN FRBA,Tradicional (2018),61
UTN FRBA,Tradicional (2018),11
UTN FRBA,Tradicional (2018),24
UTN FRBA,Tradicional (2018),17
UTN FRBA,Tradicional (2018),15
UTN FRBA,Tradicional (2018),49
UTN FRBA,Tradicional (2018),34
UTN FRBA,Tradicional (2018),30
UTN FRBA,Tradicional (2018),40
UTN FRBA,Tradicional (2018),28
UTN FRBA,Tradicional (2018),15
UTN FRBA,Tradicional (2018),18
UTN FRBA,Tradicional (2018),26
UTN FRBA,Tradicional (2018),21
UTN FRBA,Tradicional (2018),38
UTN FRBA,Tradicional (2018),11
UTN FRBA,Tradicional (2018),28
UTN FRBA,Tradicional (2018),22
UNSAM,Juego (2019),30
UNSAM,Juego (2019),33
UNSAM,Juego (2019),38
UNSAM,Juego (2019),39
UNSAM,Juego (2019),47
UNSAM,Juego (2019),58
UNSAM,Juego (2019),59
UNSAM,Juego (2019),71
UNSAM,Juego (2019),179
UNSAM,Juego (2019),273
UTN FRBA,Juego (2019),163
UTN FRBA,Juego (2019),63
UTN FRBA,Juego (2019),41
UTN FRBA,Juego (2019),42
UTN FRBA,Juego (2019),44
UTN FRBA,Juego (2019),27
UTN FRBA,Juego (2019),27
UTN FRBA,Juego (2019),52
UTN FRBA,Juego (2019),168
UTN FRBA,Juego (2019),26
UTN FRBA,Juego (2019),72
UTN FRBA,Juego (2019),18